description,is_scam
Transport reimbursement. Check your email for details.,0
Transport reimbursement. ,0
Update your KYC to avoid account block. Please process as soon as possible.,1
"Payment gateway error, re-enter card details. Let me know once paid.",1
Hospital bill for emergency. Please process as soon as possible.,0
"Your mobile banking is disabled, unlock here. Reminder: payment due today.",1
Travel advance. Check your email for details.,0
Tuition fees payment. Transaction completed.,0
Movie tickets payment. Urgent request.,0
"Your mobile banking is disabled, unlock here. Urgent request.",1
Client invoice cleared. Best regards.,0
Purchase at electronics store. Urgent request.,0
Dinner payment to Ramesh. Let me know once paid.,0
"Emergency: Family member in hospital, send funds urgently. Urgent request.",1
"Transfer ₹20,000 to secure your deposit. Best regards.",1
"Your mobile banking is disabled, unlock here. Check your email for details.",1
Electricity bill paid. Use UPI to complete.,0
"You've won ₹10,000, click here to claim. Best regards.",1
"Emergency: Family member in hospital, send funds urgently. Check your email for details.",1
Donation payment for charity. Check your email for details.,0
Transport reimbursement. Urgent request.,0
Congratulations! You won a lucky draw. Check your email for details.,1
Send ₹500 to verify your UPI. ,1
Friend paid for lunch. Transaction completed.,0
"Your mobile banking is disabled, unlock here. Check your email for details.",1
"Amazon: Package delivery issue, update payment. Transaction completed.",1
Donation payment for charity. Check your email for details.,0
"Amazon: Package delivery issue, update payment. Transaction completed.",1
"Loan pre-approved, click to receive funds. Reminder: payment due today.",1
"Suspicious transaction detected, click to verify. ",1
Uber ride payment. Use UPI to complete.,0
Electricity bill paid. Reminder: payment due today.,0
"Dad, sending money for school fees. Transaction completed.",0
Click this link to avoid penalty. Use UPI to complete.,1
Click this link to avoid penalty. Urgent request.,1
Dinner payment to Ramesh. Reminder: payment due today.,0
Monthly rent for accommodation. Transaction completed.,0
Dinner payment to Ramesh. Reminder: payment due today.,0
Friend paid for lunch. Please process as soon as possible.,0
"Get reward, pay small fee now. ",1
Government notice: Clear pending taxes urgently. ,1
Travel advance. Let me know once paid.,0
"Immediate action required, verify your account. Transaction completed.",1
Monthly rent for accommodation. Urgent request.,0
Update your KYC to avoid account block. Check your email for details.,1
"Payment gateway error, re-enter card details. Best regards.",1
Tuition fees payment. Urgent request.,0
Electricity bill paid. Reminder: payment due today.,0
"Suspicious transaction detected, click to verify. Best regards.",1
"Loan pre-approved, click to receive funds. Let me know once paid.",1
"Emergency: Family member in hospital, send funds urgently. Transaction completed.",1
Congratulations! You won a lucky draw. Urgent request.,1
Your account will be suspended unless you verify now. Please process as soon as possible.,1
Congratulations! You won a lucky draw. Let me know once paid.,1
"Immediate action required, verify your account. Transaction completed.",1
Tuition fees payment. Best regards.,0
Grocery shopping payment. Reminder: payment due today.,0
"Transfer ₹20,000 to secure your deposit. Use UPI to complete.",1
"Your ATM card expired, activate immediately. Check your email for details.",1
Electricity bill paid. ,0
Send ₹500 to verify your UPI. Reminder: payment due today.,1
"Amazon: Package delivery issue, update payment. Transaction completed.",1
Bank alert: Confirm password to restore your account. Please process as soon as possible.,1
"Loan pre-approved, click to receive funds. Urgent request.",1
"Refund processed, share OTP to confirm. Check your email for details.",1
"Your ATM card expired, activate immediately. ",1
Dinner payment to Ramesh. Urgent request.,0
Tuition fees payment. Urgent request.,0
"Amazon: Package delivery issue, update payment. Please process as soon as possible.",1
Monthly rent for accommodation. Please process as soon as possible.,0
Update your KYC to avoid account block. ,1
"Suspicious transaction detected, click to verify. Reminder: payment due today.",1
Salary payment. Please process as soon as possible.,0
Subscription payment for mobile app. Reminder: payment due today.,0
Regular maintenance payment. Let me know once paid.,0
"Your mobile banking is disabled, unlock here. Let me know once paid.",1
Electricity bill paid. Reminder: payment due today.,0
Purchase at electronics store. Check your email for details.,0
Uber ride payment. Urgent request.,0
Grocery shopping payment. Transaction completed.,0
"Payment failed, verify details here. Please process as soon as possible.",1
"Your ATM card expired, activate immediately. Reminder: payment due today.",1
"Loan pre-approved, click to receive funds. Reminder: payment due today.",1
Transport reimbursement. Transaction completed.,0
Regular maintenance payment. Use UPI to complete.,0
"Get reward, pay small fee now. Reminder: payment due today.",1
Monthly rent for accommodation. Check your email for details.,0
"Payment failed, verify details here. ",1
Government notice: Clear pending taxes urgently. Please process as soon as possible.,1
Bank alert: Confirm password to restore your account. Check your email for details.,1
"Your mobile banking is disabled, unlock here. Transaction completed.",1
Monthly rent for accommodation. Reminder: payment due today.,0
Dinner payment to Ramesh. Use UPI to complete.,0
"Your mobile banking is disabled, unlock here. Use UPI to complete.",1
Bank alert: Confirm password to restore your account. Transaction completed.,1
"Your ATM card expired, activate immediately. Please process as soon as possible.",1
Recharge for Jio plan. Please process as soon as possible.,0
Friend paid for lunch. Please process as soon as possible.,0
"Loan pre-approved, click to receive funds. ",1
Grocery shopping payment. Urgent request.,0
Click this link to avoid penalty. ,1
Electricity bill paid. Check your email for details.,0
Government notice: Clear pending taxes urgently. Best regards.,1
Transport reimbursement. Transaction completed.,0
"Refund processed, share OTP to confirm. Urgent request.",1
Monthly rent for accommodation. Best regards.,0
Tuition fees payment. Check your email for details.,0
Tuition fees payment. Please process as soon as possible.,0
Purchase at electronics store. Reminder: payment due today.,0
Monthly rent for accommodation. Let me know once paid.,0
"Suspicious transaction detected, click to verify. ",1
Dinner payment to Ramesh. Let me know once paid.,0
Congratulations! You won a lucky draw. Reminder: payment due today.,1
Client invoice cleared. Reminder: payment due today.,0
Subscription payment for mobile app. Use UPI to complete.,0
Your account will be suspended unless you verify now. Transaction completed.,1
"Your mobile banking is disabled, unlock here. ",1
Update your KYC to avoid account block. Let me know once paid.,1
Grocery shopping payment. Use UPI to complete.,0
Travel advance. Please process as soon as possible.,0
"Your ATM card expired, activate immediately. Transaction completed.",1
Send ₹500 to verify your UPI. Urgent request.,1
Payment for freelance services. Check your email for details.,0
"Loan pre-approved, click to receive funds. Let me know once paid.",1
Government notice: Clear pending taxes urgently. Transaction completed.,1
